"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang H.; Tang Y.; Khandelwal A.; Chen J.; Stoica I.","Zhang, Hong (59874271100); Tang, Yupeng (57226779139); Khandelwal, Anurag (57189265710); Chen, Jingrong (57223836523); Stoica, Ion (7007009125)","59874271100; 57226779139; 57189265710; 57223836523; 7007009125","Caerus: NIMBLE task scheduling for serverless analytics","2021","Proceedings of the 18th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2021","","","","653","668","15","44","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106195917&partnerID=40&md5=1ade861b8356005c6c8c846cf66c8d26","Serverless platforms facilitate transparent resource elasticity and fine-grained billing, making them an attractive choice for data analytics. We find that while server-centric analytics frameworks typically optimize for job completion time (JCT), resource utilization and isolation via inter-job scheduling policies, serverless analytics requires optimizing for JCT and cost of execution instead, introducing a new scheduling problem. We present Caerus, a task scheduler for serverless analytics frameworks that employs a fine-grained NIMBLE scheduling algorithm to solve this problem. NIMBLE efficiently pipelines task executions within a job, minimizing execution cost while being Pareto-optimal between cost and JCT for arbitrary analytics jobs. To this end, NIMBLE models a wide range of execution parameters-pipelineable and non-piplineable data dependencies, data generation, consumption and processing rates, etc.-to determine the ideal task launch times. Our evaluation results show that in practice, Caerus is able to achieve both optimal cost and JCT for queries across a wide range of analytics workloads.  © 2021 by The USENIX Association.","","Data Analytics; Pareto principle; Pipelines; Systems analysis; Data dependencies; Evaluation results; Execution costs; Job scheduling policies; Processing rates; Resource utilizations; Scheduling problem; Task-scheduling; Scheduling","USENIX Association","Amazon; et al.; Facebook; Futurewei Technologies; Google; NetApp","18th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2021","12 April 2021 through 14 April 2021","Virtual, Online","168826","Conference paper","Final","","Scopus","2-s2.0-85106195917"
"Thorpe J.; Qiao Y.; Eyolfson J.; Teng S.; Hu G.; Jia Z.; Wei J.; Vora K.; Netravali R.; Kim M.; Xu G.H.","Thorpe, John (57208125811); Qiao, Yifan (57224728333); Eyolfson, Jonathan (40461387300); Teng, Shen (57224742045); Hu, Guanzhou (57222342008); Jia, Zhihao (57145966000); Wei, Jinliang (59883489800); Vora, Keval (56275447300); Netravali, Ravi (22958227800); Kim, Miryung (57203466476); Xu, Guoqing Harry (57214267818)","57208125811; 57224728333; 40461387300; 57224742045; 57222342008; 57145966000; 59883489800; 56275447300; 22958227800; 57203466476; 57214267818","Dorylus: Affordable, scalable, and accurate GNN training with distributed CPU servers and serverless threads","2021","Proceedings of the 15th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2021","","","","495","514","19","105","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113859558&partnerID=40&md5=c5dbc42b57dcf75b32cea00ef763e64b","A graph neural network (GNN) enables deep learning on structured graph data. There are two major GNN training obstacles: 1) it relies on high-end servers with many GPUs which are expensive to purchase and maintain, and 2) limited memory on GPUs cannot scale to today’s billion-edge graphs. This paper presents Dorylus: a distributed system for training GNNs. Uniquely, Dorylus can take advantage of serverless computing to increase scalability at a low cost. The key insight guiding our design is computation separation. Computation separation makes it possible to construct a deep, bounded-asynchronous pipeline where graph and tensor parallel tasks can fully overlap, effectively hiding the network latency incurred by Lambdas. With the help of thousands of Lambda threads, Dorylus scales GNN training to billion-edge graphs. Currently, for large graphs, CPU servers offer the best performance per dollar over GPU servers. Just using Lambdas on top of Dorylus offers up to 2.75× more performance-per-dollar than CPU-only servers. Concretely, Dorylus is 1.22× faster and 4.83× cheaper than GPU servers for massive sparse graphs. Dorylus is up to 3.8× faster and 10.7× cheaper compared to existing sampling-based systems. © 2021 by The USENIX Association. All rights reserved.","","Distributed database systems; Graphic methods; Program processors; Systems analysis; Asynchronous pipeline; Distributed systems; Graph neural networks; High-end servers; Limited memory; Network latencies; Sampling-based; Structured graphs; Deep learning","USENIX Association","Amazon; ByteDance; et al.; Facebook; Futurewei Technologies; USENIX","15th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2021","14 July 2021 through 16 July 2021","Virtual, Online","170585","Conference paper","Final","","Scopus","2-s2.0-85113859558"
"Bag M.; Jindal A.; Patel H.","Bag, Malay (57202576649); Jindal, Alekh (53881488400); Patel, Hiren (57210068008)","57202576649; 53881488400; 57210068008","Towards plan-aware resource allocation in serverless query processing","2020","HotCloud 2020 - 12th USENIX Workshop on Hot Topics in Cloud Computing, co-located with USENIX ATC 2020","","","","","","","9","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091926041&partnerID=40&md5=59a01d613d4a809991c1e846444dccf2","Resource allocation for serverless query processing is a challenge. Unfortunately, prior approaches have treated queries as black boxes, thereby missing significant resource optimization opportunities. In this paper, we propose a plan-aware resource allocation approach where the resources are adaptively allocated based on the runtime characteristics of the query plan. We show the savings opportunity from such an allocation scheme over production SCOPE workloads at Microsoft. We present our current implementation of a greedy version that periodically estimates the peak resource for the remaining of the query as the query execution progresses. Our experimental evaluation shows that such an implementation could already save more than 8% resource usage over one of our production virtual clusters. We conclude by opening the discussion on various strategies for plan-aware resource allocation and their implications on the cloud computing stack. © HotCloud 2020 - 12th USENIX Workshop on Hot Topics in Cloud Computing, co-located with USENIX ATC 2020. All rights reserved.","","Cloud computing; Query processing; Black boxes; Experimental evaluation; MicroSoft; Query execution; Resource optimization; Resource usage; Runtimes; Virtual clusters; Resource allocation","USENIX Association","Google; NetApp; VMware","12th USENIX Workshop on Hot Topics in Cloud Computing, HotCloud 2020, co-located with USENIX ATC 2020","13 July 2020 through 14 July 2020","Virtual, Online","162465","Conference paper","Final","","Scopus","2-s2.0-85091926041"
"Fu Y.; Xue L.; Huang Y.; Brabete A.-O.; Ustiugov D.; Patel Y.; Mai L.","Fu, Yao (57217383487); Xue, Leyang (57830272900); Huang, Yeqi (58849709800); Brabete, Andrei-Octavian (57210734485); Ustiugov, Dmitrii (57211122881); Patel, Yuvraj (57196441156); Mai, Luo (55841094800)","57217383487; 57830272900; 58849709800; 57210734485; 57211122881; 57196441156; 55841094800","ServerlessLLM: Low-Latency Serverless Inference for Large Language Models","2024","Proceedings of the 18th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2024","","","","135","153","18","19","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196227125&partnerID=40&md5=765e50157a0202b6de7dbb44b86365d8","This paper presents ServerlessLLM, a distributed system designed to support low-latency serverless inference for Large Language Models (LLMs). By harnessing the substantial near-GPU storage and memory capacities of inference servers, ServerlessLLM achieves effective local checkpoint storage, minimizing the need for remote checkpoint downloads and ensuring efficient checkpoint loading. The design of ServerlessLLM features three core contributions: (i) fast multi-tier checkpoint loading, featuring a new loading-optimized checkpoint format and a multi-tier loading system, fully utilizing the bandwidth of complex storage hierarchies on GPU servers; (ii) efficient live migration of LLM inference, which enables newly initiated inferences to capitalize on local checkpoint storage while ensuring minimal user interruption; and (iii) startup-time-optimized model scheduling, which assesses the locality statuses of checkpoints on each server and schedules the model onto servers that minimize the time to start the inference. Comprehensive evaluations, including microbenchmarks and real-world scenarios, demonstrate that ServerlessLLM dramatically outperforms state-of-the-art serverless systems, reducing latency by 10 - 200X across various LLM inference workloads. © OSDI 2024.All rights reserved.","","Associative storage; Computer graphics equipment; Problem oriented languages; Virtual storage; Checkpoint storages; Distributed systems; Language model; Loading system; Low latency; Memory capacity; Model inference; Multi-tier; Storage capacity; Storage hierarchy; Graphics processing unit","USENIX Association","Amazon; Databricks; et al.; Futurewei Technologies; Roblox; USENIX Association","18th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2024","10 July 2024 through 12 July 2024","Santa Clara","201531","Conference paper","Final","","Scopus","2-s2.0-85196227125"
"Song W.W.; Um T.; Elnikety S.; Jeon M.; Chun B.-G.","Song, Won Wook (57194219657); Um, Taegeon (57195963402); Elnikety, Sameh (8366429300); Jeon, Myeongjae (55696387500); Chun, Byung-Gon (7102410988)","57194219657; 57195963402; 8366429300; 55696387500; 7102410988","Sponge: Fast Reactive Scaling for Stream Processing with Serverless Frameworks","2023","Proceedings of the 2023 USENIX Annual Technical Conference, ATC 2023","","","","301","314","13","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180374920&partnerID=40&md5=1974d16c57214b39fdc4e8c8d129704f","Streaming workloads deal with data that is generated in real-time. This data is often unpredictable and changes rapidly in volume. To deal with these fluctuations, current systems aim to dynamically scale in and out, redistribute, and migrate computing tasks across a cluster of machines. While many prior works have focused on reducing the overhead of system reconfiguration and state migration on pre-allocated cluster resources, these approaches still face significant challenges in meeting latency SLOs at low operational costs, especially upon facing unpredictable bursty loads. In this paper, we propose Sponge, a new stream processing system that enables fast reactive scaling of long-running stream queries by leveraging serverless framework (SF) instances. Sponge absorbs sudden, unpredictable increases in input loads from existing VMs with low latency and cost by taking advantage of the fact that SF instances can be initiated quickly, in just a few hundred milliseconds. Sponge efficiently tracks a small number of metrics to quickly detect bursty loads and make fast scaling decisions based on these metrics. Moreover, by incorporating optimization logic at compile-time and triggering fast data redirection and partial-state merging mechanisms at runtime, Sponge avoids optimization and state migration overheads during runtime while efficiently offloading bursty loads from existing VMs to new SF instances. Our evaluation on AWS EC2 and Lambda using the NEXMark benchmark shows that Sponge promptly reacts to bursty input loads, reducing 99thpercentile tail latencies by 88% on average compared to other stream query scaling methods on VMs. Sponge also reduces cost by 83% compared to methods that over-provision VMs to handle unpredictable bursty loads. © 2023 by The USENIX Association All Rights Reserved.","","Cluster computing; Cost reduction; Computing-task; Current system; Fluctuation current; Real- time; Runtimes; Scalings; State migrations; Stream processing; System reconfiguration; System state; Computation theory","USENIX Association","Akamai; et al.; Futurewei Technologies; NSF; USENIX Association; VMWare University Research Fund","2023 USENIX Annual Technical Conference, ATC 2023","10 July 2023 through 12 July 2023","Boston","195092","Conference paper","Final","","Scopus","2-s2.0-85180374920"
"","","","HotCloud 2020 - 12th USENIX Workshop on Hot Topics in Cloud Computing, co-located with USENIX ATC 2020","2020","HotCloud 2020 - 12th USENIX Workshop on Hot Topics in Cloud Computing, co-located with USENIX ATC 2020","","","","","","144","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091942680&partnerID=40&md5=92574b35ca1f0c61b09e1348ee6e4754","The proceedings contain 22 papers. The topics discussed include: a cloud gaming framework for dynamic graphical rendering towards achieving distributed game engines; towards supporting millions of users in modifiable virtual environments by redesigning minecraft-like games as serverless systems; AI4DL: mining behaviors of deep learning workloads for resource management; Spotnik: designing distributed machine learning for transient cloud resources; model-switching: dealing with fluctuating workloads in machine-learning-as-a-service systems; towards GPU utilization prediction for cloud deep learning; serverless boom or bust? an analysis of economic incentives; no reservations: a first look at Amazon’s reserved instance marketplace; and auto-sizing for stream processing applications at LinkedIn.","","","USENIX Association","Google; NetApp; VMware","12th USENIX Workshop on Hot Topics in Cloud Computing, HotCloud 2020, co-located with USENIX ATC 2020","13 July 2020 through 14 July 2020","Virtual, Online","162465","Conference review","Final","","Scopus","2-s2.0-85091942680"
"Cheng Y.; Zhou Z.","Cheng, Yingchao (57007430600); Zhou, Zhongrun (57205505098)","57007430600; 57205505098","Autonomous resource scheduling for real-time and stream processing","2018","Proceedings - 2018 IEEE SmartWorld, Ubiquitous Intelligence and Computing, Advanced and Trusted Computing, Scalable Computing and Communications, Cloud and Big Data Computing, Internet of People and Smart City Innovations, SmartWorld/UIC/ATC/ScalCom/CBDCom/IoP/SCI 2018","","","8560183","1181","1184","3","5","10.1109/SmartWorld.2018.00205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060276633&doi=10.1109%2fSmartWorld.2018.00205&partnerID=40&md5=3a8d1105382fb1052193a8adf4159fe0","This work proposes the ARS(FaaS) framework, scheduling and provisioning resources for streaming applications autonomously. It ensures real-time response on unpredictable and fluctuating streaming data. We use a HPC Cloud platform as the de facto platform, and explore FaaS for stream processing on it. The major contribution of this work is effective and efficient autonomous resource scheduling for real-time streaming analytic. © 2018 IEEE.","Autonomous scheduling; Cloud computing; FaaS; Steam processing","Big data; Cloud computing; Scheduling; Smart city; Trusted computing; Autonomous scheduling; FaaS; Real time response; Real time streaming; Resource-scheduling; Stream processing; Streaming applications; Streaming data; Ubiquitous computing","Institute of Electrical and Electronics Engineers Inc.","","4th IEEE SmartWorld, 15th IEEE International Conference on Ubiquitous Intelligence and Computing, Advanced and Trusted Computing, Scalable Computing and Communications, Cloud and Big Data Computing, Internet of People and Smart City Innovations, SmartWorld/UIC/ATC/ScalCom/CBDCom/IoP/SCI 2018","7 October 2018 through 11 October 2018","Guangzhou","143372","Conference paper","Final","","Scopus","2-s2.0-85060276633"
"Li Z.; Guo L.; Chen Q.; Cheng J.; Xu C.; Zeng D.; Song Z.; Ma T.; Yang Y.; Li C.; Guo M.","Li, Zijun (57278389100); Guo, Linsong (57394013200); Chen, Quan (36623232500); Cheng, Jiagan (57393989800); Xu, Chuhao (57949219100); Zeng, Deze (24722168400); Song, Zhuo (57211901693); Ma, Tao (57211901430); Yang, Yong (57211949893); Li, Chao (56697637700); Guo, Minyi (7201564780)","57278389100; 57394013200; 36623232500; 57393989800; 57949219100; 24722168400; 57211901693; 57211901430; 57211949893; 56697637700; 7201564780","Help Rather Than Recycle: Alleviating Cold Startup in Serverless Computing Through Inter-Function Container Sharing","2022","Proceedings of the 2022 USENIX Annual Technical Conference, ATC 2022","","","","69","84","15","71","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137787065&partnerID=40&md5=cae1d5bf3a230156bd84ee6d47324708","In serverless computing, each function invocation is executed in a container (or a Virtual Machine), and container cold startup results in long response latency. We observe that some functions suffer from cold container startup, while the warm containers of other functions are idle. Based on the observation, other than booting a new container for a function from scratch, we propose to alleviate the cold startup by re-purposing a warm but idle container from another function. We implement a container management scheme, named Pagurus, to achieve the purpose. Pagurus comprises an intra-function manager for replacing an idle warm container to be a container that other functions can use without introducing additional security issues, an inter-function scheduler for scheduling containers between functions, and a sharingaware function balancer at the cluster-level for balancing the workload across different nodes. Experiments using Azure serverless traces show that Pagurus alleviates 84.6% of the cold startup, and the cold startup latency is reduced from hundreds of milliseconds to 16 milliseconds if alleviated. © 2022 USENIX Annual Technical Conference, ATC 2022.All rights reserved.","","Balancing; Scheduling; Container management; Management scheme; Security issues; Containers","USENIX Association","Alibaba Group; Apple; et al.; PagerDuty; USENIX Association; VMware University Research Fund","2022 USENIX Annual Technical Conference, ATC 2022","11 July 2022 through 13 July 2022","Carlsbad","183226","Conference paper","Final","","Scopus","2-s2.0-85137787065"
"Zhuang S.; Wang S.; Liang E.; Cheng Y.; Stoica I.","Zhuang, Siyuan (57219586350); Wang, Stephanie (57195424708); Liang, Eric (55268196400); Cheng, Yi (58774852900); Stoica, Ion (7007009125)","57219586350; 57195424708; 55268196400; 58774852900; 7007009125","ExoFlow: A Universal Workflow System for Exactly-Once DAGs","2023","Proceedings of the 17th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2023","","","","269","286","17","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180377045&partnerID=40&md5=52b58f406171c3c816af48dca6cbbab4","Given the fundamental tradeoff between run-time and recovery performance, current distributed systems often build application-specific recovery strategies to minimize overheads. However, it is increasingly common for different applications to be composed into heterogeneous pipelines. Implementing multiple interoperable recovery techniques in the same system is rare and difficult. Thus, today’s users must choose between: (1) building on a single system, and face a fixed choice of performance vs. recovery overheads, or (2) the challenging task of stitching together multiple systems that can offer application-specific tradeoffs. We present ExoFlow, a universal workflow system that enables a flexible choice of recovery vs. performance tradeoffs, even within the same application. The key insight behind our solution is to decouple execution from recovery and provide exactly-once semantics as a separate layer from execution. For generality, workflow tasks can return references that capture arbitrary inter-task communication. To enable the workflow system and therefore the end user to take control of recovery, we design task annotations that specify execution semantics such as nondeterminism. ExoFlow generalizes recovery for existing workflow applications ranging from ETL pipelines to stateful serverless workflows, while enabling further optimizations in task communication and recovery. © OSDI 2023.All rights reserved.","","Interoperability; Pipelines; Semantics; 'current; Application specific; Distributed systems; Performance; Recovery performance; Recovery strategies; Recovery techniques; Runtime performance; Work-flow systems; Work-flows; Recovery","USENIX Association","Akamai; Amazon; et al.; Futurewei Technologies; NSF; USENIX Association","17th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2023","10 July 2023 through 12 July 2023","Boston","195094","Conference paper","Final","","Scopus","2-s2.0-85180377045"
"Mahgoub A.; Yi E.B.; Shankar K.; Elnikety S.; Chaterji S.; Bagchi S.","Mahgoub, Ashraf (56878717700); Yi, Edgardo Barsallo (57203268424); Shankar, Karthick (57215202832); Elnikety, Sameh (8366429300); Chaterji, Somali (18133715900); Bagchi, Saurabh (14821898700)","56878717700; 57203268424; 57215202832; 8366429300; 18133715900; 14821898700","ORION and the Three Rights: Sizing, Bundling, and Prewarming for Serverless DAGs","2022","Proceedings of the 16th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2022","","","","303","320","17","80","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131698575&partnerID=40&md5=e21e869863830f4f2992daa375794bef","Serverless applications represented as DAGs have been growing in popularity. For many of these applications, it would be useful to estimate the end-to-end (E2E) latency and to allocate resources to individual functions so as to meet probabilistic guarantees for the E2E latency. This goal has not been met till now due to three fundamental challenges. The first is the high variability and correlation in the execution time of individual functions, the second is the skew in execution times of the parallel invocations, and the third is the incidence of cold starts. In this paper, we introduce ORION to achieve this goal. We first analyze traces from a production FaaS infrastructure to identify three characteristics of serverless DAGs. We use these to motivate and design three features. The first is a performance model that accounts for runtime variabilities and dependencies among functions in a DAG. The second is a method for co-locating multiple parallel invocations within a single VM thus mitigating content-based skew among these invocations. The third is a method for pre-warming VMs for subsequent functions in a DAG with the right look-ahead time. We integrate these three innovations and evaluate ORION on AWS Lambda with three serverless DAG applications. Our evaluation shows that compared to three competing approaches, ORION achieves up to 90% lower P95 latency without increasing $ cost, or up to 53% lower $ cost without increasing P95 latency. © 2022 by The USENIX Association. All rights reserved.","","Cold-start; Content-based; End to end; Increasing costs; Lambda's; Look-ahead time; Low-costs; Performance Modeling; Probabilistic guarantees; Runtime variabilities; Function evaluation","USENIX Association","Akamai; Amazon; Apple; et al.; Google; USENIX Association","16th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2022","11 July 2022 through 13 July 2022","Carlsbad","183231","Conference paper","Final","","Scopus","2-s2.0-85131698575"
