"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Structured Literature Review Approach to Define Serverless Computing and Function as a Service","J. Manner","Distributed Systems Group, Otto-Friedrich-University, Bamberg, Germany",2023 IEEE 16th International Conference on Cloud Computing (CLOUD),"25 Sep 2023","2023","","","516","522","Nearly a decade ago, the emergence of an event-driven computing model attracted a lot of attention in industry and academia. This new computing concept has been described with a plethora of terms: Serverless Computing, Function as a Service (FaaS), Serverless functions, cloud functions, server-aware vs. server-less, to name only a few of the most frequently used terms. This enumeration showcases a problem of the domain: the lack of clear terminology, a conceptualization of Serverless and FaaS and a differentiation of the two. To overcome this limitation we present a Structured Literature Review (SLR) and usage trends which help to understand the current usage of the terms. Based on characteristics extracted from several definitions and validated in the course of the SLR we demarcate Serverless and FaaS. Our SLR shows that 90% of the considered papers predomi-nantly use the term Serverless whereas most of the authors intend to write about FaaS in the sense of our definition. Another insight is that the viewpoint on Serverless and FaaS evolved over time and that since 2021 most authors see Serverless as an umbrella term for FaaS and Backend as a Service (BaaS). Some of them also include further cloud service models, i.e. parts of PaaS and SaaS, providing a server-less experience for an application developer. This is an interpretation we share.","2159-6190","979-8-3503-0481-7","10.1109/CLOUD60044.2023.00068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10255020","Serverless Computing;Function as a Service;FaaS;Structured Literature Review;SLR","Industries;Terminology;Computational modeling;Bibliographies;Software as a service;Serverless computing;Search engines","","3","","59","IEEE","25 Sep 2023","","","IEEE","IEEE Conferences"
"Towards Scalable k-out-of-n Models for Assessing the Reliability of Large-Scale Function-as-a-Service Systems with Bayesian Networks","O. Bibartiu; F. Dürr; K. Rothermel; B. Ottenwälder; A. Grau","University of Stuttgart, Institute for Parallel and Distributed Systems (IPVS), Stuttgart, Germany; University of Stuttgart, Institute for Parallel and Distributed Systems (IPVS), Stuttgart, Germany; University of Stuttgart, Institute for Parallel and Distributed Systems (IPVS), Stuttgart, Germany; Robert Bosch GmbH, Bosch IoT Cloud, Stuttgart, Germany; Robert Bosch GmbH, Bosch IoT Cloud, Stuttgart, Germany",2019 IEEE 12th International Conference on Cloud Computing (CLOUD),"29 Aug 2019","2019","","","514","516","Typically, Function-as-a-Service (FaaS) involves state-less replication with very large numbers of instances. The reliability of such services can be evaluated using Bayesian Networks and k-out-of-n models. However, existing k-out-of-n models do not scale to the larger number of hosts of FaaS services. Therefore, we propose a scalable k-out-of-n model in this paper with the same semantics as the standard k-out-of-n voting gates in fault trees, enabling the reliability analysis of FaaS services.","2159-6190","978-1-7281-2705-7","10.1109/CLOUD.2019.00095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8814557","Reliability;Function as a Service;Bayesian Networks;Replication;k out of n;causal independence","","","","","9","IEEE","29 Aug 2019","","","IEEE","IEEE Conferences"
"QoS aware FaaS for Heterogeneous Edge-Cloud continuum","K. R. Sheshadri; J. Lakshmi","Cloud Systems Lab Indian Institute of Science, Bangalore, India; Cloud Systems Lab Indian Institute of Science, Bangalore, India",2022 IEEE 15th International Conference on Cloud Computing (CLOUD),"24 Aug 2022","2022","","","70","80","Function as a Service (FaaS) is one of the widely used serverless computing service offerings to build and deploy applications on the Cloud. The platform is popular for its ""pay-as-you-go"" billing model, microservice-based design, event-driven executions, and autonomous scaling. Although it has its firm roots in Cloud computing service offerings, it is considerably explored in the Edge computing layer. The efficient resource management of FaaS is attractive to Edge computing because of the limited nature of resources. Existing literature on Edge-Cloud FaaS platforms orchestrates compute workloads based on factors such as data locality, resource availability, network costs, and bandwidth. However, the state-of-the-art platforms lack a comprehensive way to address the challenges of managing heterogeneous resources in the FaaS platform. The resource specification in a heterogeneous setting, lack of Quality of Service (QoS) driven resource provisioning, and function deployment exacerbate the problem of resource selection, and function deployment in FaaS platforms with a heterogeneous resource pool. To address these gaps, the current work presents a novel heterogeneous FaaS platform that deduces function resource specification using Machine Learning (ML) methods, performs smart function placement on Edge/Cloud based on a user-specified QoS requirement, and exploit data locality by caching appropriate data for function executions. Experimental results based on real-world workloads on a video surveillance application show that the proposed platform brings efficient resource utilization and cost savings at the Cloud by reducing the resource usage by up to 30%, while improving the performance of function executions by up to 25% at Edge and Cloud.","2159-6190","978-1-6654-8137-3","10.1109/CLOUD55607.2022.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9860835","FaaS;Function as a Service;serverless computing;Quality of Service;QoS;Edge Cloud;Edge Cloud FaaS;Edge Cloud continuum;Heterogeneous FaaS platforms;Heterogeneous Edge Cloud platforms;QoS aware FaaS for Heterogeneous Edge Cloud continuum","Cloud computing;Costs;Computational modeling;Serverless computing;Microservice architectures;FAA;Quality of service","","9","","26","IEEE","24 Aug 2022","","","IEEE","IEEE Conferences"
"QoS aware FaaS platform","S. K. R; J. Lakshmi","Cloud Systems Lab, Indian Institute of Science, Bangalore, INDIA; Cloud Systems Lab, Indian Institute of Science, Bangalore, INDIA","2021 IEEE/ACM 21st International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","2 Aug 2021","2021","","","812","819","Function as a Service (FaaS), a form of serverless computing, is one of the recent cloud computing service offerings, which abstracts and automates the management and provisioning of resources, and deployment of applications. It provides powerful abstractions to compose applications as stateless functions and triggers their executions through events. The platform offers autonomous scaling for applications and pay-as-you-go sub-second billing model. However, contemporary FaaS platforms provide limited features in stating resource requirements. They often lack specifications to express application specificities and resource requirements associated with Quality of Service (QoS). Such specifications can effectively guide the resource provisioning and function deployment at the resource provider, leading to efficient resource utilization and cost savings. This research exploration motivates the need for a QoS specification framework for FaaS and proposes ideas for realizing an initial QoS aware FaaS platform. Experimental results based on real-world workload trace show the cost savings and efficient resource utilization that QoS can bring in FaaS platforms.","","978-1-7281-9586-5","10.1109/CCGrid51090.2021.00099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9499608","FaaS;Function as a Service;Serverless computing;QoS;Quality of Service;QoS aware FaaS platform;FaaS platform","Cloud computing;Computational modeling;Quality of service;FAA;Resource management","","7","","29","IEEE","2 Aug 2021","","","IEEE","IEEE Conferences"
"SCOOP: A Scalable Object-Oriented Serverless Platform","N. Shahidi; J. R. Gunasekaran; M. T. Kandemir; B. Urgaonkar","Computer Science and Engineering, Pennsylvania State University, University Park, PA; Adobe Research; Computer Science and Engineering, Pennsylvania State University, University Park, PA; Computer Science and Engineering, Pennsylvania State University, University Park, PA",2023 IEEE 16th International Conference on Cloud Computing (CLOUD),"25 Sep 2023","2023","","","1","3","Function-as-a-Service (FaaS) has been the primary component to drive the movement toward serverless computing. These lightweight and scalable components, though attractive, are non-trivial to accommodate the needs of long-running stateful applications. In this paper, we highlight the drawbacks of existing stateful FaaS proposals, in turn motivating the need to rethink the stateful serverless model for building general-purpose applications, while maintaining its benefits such as auto-scaling and pay-per-use cost model. We present a novel serverless model based on the object-oriented (OO) programming paradigm, with Object-as-a-Service (OaaS), acting as the only component of the serverless design. Through our experimental evaluations, we demonstrate that the proposed architecture, named SCOOP, can improve the end-to-end latency of applications by 52% and 58%, compared to the state-of-the-art stateless and stateful FaaS implementations, respectively, while reducing the SLO violations by up to 14% by scaling resources based on the traffic fluctuations in the WITS and Berkeley traces.","2159-6190","979-8-3503-0481-7","10.1109/CLOUD60044.2023.00069","NSF(grant numbers:2211018,2122155,1931531,1763681,1908793); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10254975","Serverless Computing;Object-Oriented Programming;FaaS;Stateful;AWS;Azure;AWS Step Function;Azure Durable Function","Fluctuations;Costs;Object oriented modeling;Computational modeling;Architecture;Buildings;Serverless computing","","1","","6","IEEE","25 Sep 2023","","","IEEE","IEEE Conferences"
"Evaluating Concurrent Executions of Multiple Function-as-a-Service Runtimes with MicroVM","J. Park; H. Kim; K. Lee","Dept. of Computer Science, Kookmin University, Seoul, South Korea; Dept. of Computer Science, Kookmin University, Seoul, South Korea; Dept. of Computer Science, Kookmin University, Seoul, South Korea",2020 IEEE 13th International Conference on Cloud Computing (CLOUD),"18 Dec 2020","2020","","","532","536","Serverless computing and public Function-as-a-Service (FaaS) systems are gaining significant attention because they help easily build a highly available system. With recent advances in micro virtual machines (microVM), the internal architecture of FaaS systems substantially changes. This paper focuses on a thorough investigation of the recent improvement in public FaaS systems concerning numerous concurrent executions. The adoption of microVM has changed the nature of FaaS, especially for runtime reservations. As a result, the performance degradation has decreased significantly compared to the previous generation FaaS, as shown in the experiment.","2159-6190","978-1-7281-8780-8","10.1109/CLOUD49709.2020.00080","National Research Foundation of Korea (NRF)(grant numbers:NRF-2015R1A5A7037615); ICT R&D program of IITP(grant numbers:2017-0-00396); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9284320","FaaS;Serverless;microVM","Degradation;Cloud computing;Runtime;Conferences;FAA;Computer architecture;Virtual machining","","7","","14","IEEE","18 Dec 2020","","","IEEE","IEEE Conferences"
"Enabling Serverless Sky Computing","R. Cordingly; W. Lloyd","School of Engineering and Technology, University of Washington Tacoma, Washington, USA; School of Engineering and Technology, University of Washington Tacoma, Washington, USA",2023 IEEE International Conference on Cloud Engineering (IC2E),"6 Nov 2023","2023","","","232","235","The Sky Computing vision represents a unified multi-cloud environment where applications can be deployed to utilize resources from different cloud regions, resource configurations, and cloud providers. Serverless computing platforms have recently emerged, offering automatic elastic scaling, high performance, and reduced costs but often utilize proprietary deployment tools and services locking users into platform-specific services. This research aims to apply Sky Computing to serverless computing platforms offered by major cloud providers such as Amazon Web Services, Google Cloud, Azure, and more. This research will build a serverless sky architecture to enable the aggregation of serverless resources to achieve service-level objectives such as low hosting costs, high performance, fault tolerance, high throughput, and low carbon footprint. The research will focus on evaluating the performance implications of serverless aggregation (Thrust-1), design and evaluation of Sky Computing architectures and aggregation strategies (Thrust-2), and finally autonomous resource aggregation for intelligent self-management of applications deployed to the sky (Thrust-3).","2694-0825","979-8-3503-4394-6","10.1109/IC2E59103.2023.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10305821","Sky Computing;Serverless Computing;Function as a Service;Cloud Computing;Hybrid Cloud","Fault tolerance;Costs;Web services;Fault tolerant systems;Ecosystems;Serverless computing;Computer architecture","","1","","18","IEEE","6 Nov 2023","","","IEEE","IEEE Conferences"
"Scheduling Containers Rather Than Functions for Function-as-a-Service","D. K. Kim; H. -G. Roh","NAVER Corporation, Seongnam-si, Republic of Korea; NAVER Cloud Corporation, Seongnam-si, Republic of Korea","2021 IEEE/ACM 21st International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","2 Aug 2021","2021","","","465","474","Function-as-a-Service (FaaS) is a compelling technology that allows users to run functions in an event-driven way without concerns about server management. Container-based virtualization enables functions to run in a lightweight and isolated run-time environment, but frequent function executions accompanied with container initialization (cold starts) make the platform busy and unresponsive. For performance sake, warm starts, which is to execute functions on already initialized containers, are encouraged, and thus FaaS platforms make efforts to schedule functions to warm containers.From our experience operating an on-premise FaaS platform, we found that the existing scheduler showed poor performance and unstable behavior against multi-tenant and highly concurrent workloads. This paper proposes a novel FaaS scheduling algorithm, named FPCSch, that schedules Function-Pulling-Containers instead of scheduling functions to containers. As FPCSch lets containers continuously pull functions of the same type, cold starts decrease dramatically. Our evaluations show that Apache OpenWhisk equipped with FPCSch has many desirable features for FaaS platforms; (1) quite stable throughput against the multi-tenant workloads mixed by the increasing numbers of function types, (2) growing throughput for increasing concurrency, (3) uniformly load-balancing resource-intensive workloads, and (4) nearly proportional performance for scale-out.","","978-1-7281-9586-5","10.1109/CCGrid51090.2021.00056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9499544","FaaS;Servereless;Scheduling;Container;Function as a Service;OpenWhisk;Load balancing;Scale out;Scalability;Apache OpenWhisk;Cold Starts;Cloud;Cloud computing;FaaS platform;Virtualization","Concurrent computing;Schedules;Cloud computing;Scheduling algorithms;FAA;Containers;Throughput","","6","","44","IEEE","2 Aug 2021","","","IEEE","IEEE Conferences"
"FedLess: Secure and Scalable Federated Learning Using Serverless Computing","A. Grafberger; M. Chadha; A. Jindal; J. Gu; M. Gerndt","Chair of Computer Architecture and Parallel Systems, Technische Universität München Garching (Near Munich), Germany; Chair of Computer Architecture and Parallel Systems, Technische Universität München Garching (Near Munich), Germany; Chair of Computer Architecture and Parallel Systems, Technische Universität München Garching (Near Munich), Germany; Chair of Computer Architecture and Parallel Systems, Technische Universität München Garching (Near Munich), Germany; Chair of Computer Architecture and Parallel Systems, Technische Universität München Garching (Near Munich), Germany",2021 IEEE International Conference on Big Data (Big Data),"13 Jan 2022","2021","","","164","173","The traditional cloud-centric approach for Deep Learning (DL) requires training data to be collected and processed at a central server which is often challenging in privacy-sensitive domains like healthcare. Towards this, a new learning paradigm called Federated Learning (FL) has been proposed that brings the potential of DL to these domains while addressing privacy and data ownership issues. FL enables clients to learn a shared ML model while keeping the data local. However, conventional FL systems face challenges such as scalability, complex infrastructure management, and wasted compute and incurred costs due to idle clients. These challenges of FL systems closely align with the core problems that serverless computing and Function-as-a-Service (FaaS) platforms aim to solve. These include rapid scalability, no infrastructure management, automatic scaling to zero for idle clients, and a pay-per-use billing model. To this end, we present a novel system and framework for serverless FL, called FedLess. Our system supports multiple commercial and self-hosted FaaS providers and can be deployed in the cloud, on-premise in institutional data centers, and on edge devices. To the best of our knowledge, we are the first to enable FL across a large fabric of heterogeneous FaaS providers while providing important features like security and Differential Privacy. We demonstrate with comprehensive experiments that the successful training of DNNs for different tasks across up to 200 client functions and more is easily possible using our system. Furthermore, we demonstrate the practical viability of our methodology by comparing it against a traditional FL system and show that it can be cheaper and more resource-efficient.","","978-1-6654-3902-2","10.1109/BigData52589.2021.9672067","Google; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9672067","Function-as-a-service (FaaS);serverless computing;federated learning;deep learning","Training;Scalability;Computational modeling;Serverless computing;Training data;FAA;Big Data","","35","","71","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences"
"The Ifs and Buts of Less is More: A Serverless Computing Reality Check","J. Kuhlenkamp; S. Werner; S. Tai","Information Systems Engineering, Technische Universität Berlin, Berlin, Germany; Information Systems Engineering, Technische Universität Berlin, Berlin, Germany; Information Systems Engineering, Technische Universität Berlin, Berlin, Germany",2020 IEEE International Conference on Cloud Engineering (IC2E),"19 May 2020","2020","","","154","161","Serverless computing defines a pay-as-you-go cloud execution model, where the unit of computation is a function that a cloud provider executes and auto-scales on behalf of a cloud consumer. Serverless suggests not (or less) caring about servers but focusing (more) on business logic expressed in functions. Server'less' may be `more' when getting developer expectations and platform propositions right and when engineering solutions that take specific behavior and constraints of (current) Function-as-a-Service platforms into account. To this end, in this invited paper, we present a summary of findings and lessons learned from a series of research experiments conducted over the past two years. We argue that careful attention must be placed on the promises associated with the serverless model, provide a reality-check for five common assumptions, and suggest ways to mitigate unwanted effects. Our findings focus on application workload distribution and computational processing complexity, the specific auto-scaling mechanisms in place, the behavior and strategies implemented with operational tasks, the constraints and limitations existing when composing functions, and the costs of executing functions.","","978-1-7281-1099-8","10.1109/IC2E48712.2020.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9096486","serverless computing;function-as-a-service (FaaS);FaaS platforms;FaaS experimentation","FAA;Computational modeling;Runtime;Cloud computing;Complexity theory;Task analysis;Load modeling","","16","","31","IEEE","19 May 2020","","","IEEE","IEEE Conferences"
