"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","Document Type","Publication Stage","Open Access","Source","EID"
"Sharma P.; Fuerst A.","Sharma, Prateek (58273575200); Fuerst, Alexander (57218225304)","58273575200; 57218225304","Accountable Carbon Footprints and Energy Profiling For Serverless Functions","2024","SoCC 2024 - Proceedings of the 2024 ACM Symposium on Cloud Computing","","","","522","541","19","1","10.1145/3698038.3698531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215515480&doi=10.1145%2f3698038.3698531&partnerID=40&md5=daad99897729c2c4d3253aa51b56190f","Cloud computing is a significant and growing cause of carbon emissions. Understanding the energy consumption and carbon footprints of cloud applications is a fundamental prerequisite to raising awareness, designing sustainability metrics, and creating targeted system optimizations. In this paper, we address the challenges of providing accurate and full-system (not just CPU) carbon footprints for serverless (FaaS) functions. To the best of our knowledge, this is the first work which develops an energy and carbon metrology framework for FaaS. Carbon footprints require a new approach to energy profiling. We use FaaS workload properties such as locality to develop a simple and practical online statistical disaggregation approach. Our fine-grained per-invocation carbon footprints also include shared hardware and software emissions, and use insights from Shapley values to fairly account for both operational and embodied emissions. Owing to the growing importance of carbon measurement, we develop a new rigorous marginal energy based validation methodology which results in accountable, complete, and fair footprints. Over a wide range of FaaS workloads and hardware platforms, our energy footprints have an accuracy of > 99%. © 2024 ACM.","Carbon footprint; Cloud computing; Energy measurement; Functions as a Service; Sustainable computing","Cloud platforms; Carbon emissions; Cloud applications; Cloud-computing; Energy; Energy profiling; Energy-consumption; Function as a service; Sustainability metrics; Sustainable computing; System optimizations; Carbon sequestration","Association for Computing Machinery, Inc","ACM Special Interest Group on Operating Systems (SIGOPS); ACM Special Interest Groups on Management of Data (SIGMOD); Google; IBM; Microsoft","15th Annual ACM Symposium on Cloud Computing, SoCC 2024","20 November 2024 through 22 November 2024","Redmond","205525","Conference paper","Final","","Scopus","2-s2.0-85215515480"
"Thurimella V.; Raith P.; Hong Enriquez R.P.; Andrei Da Silva A.; Rattihalli G.; Gavrilovska A.; Milojicic D.","Thurimella, Vijay (57221157850); Raith, Philipp (57212228238); Hong Enriquez, Rolando P. (55099055200); Andrei Da Silva, Anderson (57219876361); Rattihalli, Gourav (57193494996); Gavrilovska, Ada (6507056290); Milojicic, Dejan (6603838893)","57221157850; 57212228238; 55099055200; 57219876361; 57193494996; 6507056290; 6603838893","Serverless Computing for Dynamic HPC Workflows","2024","Proceedings of SC 2024-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis","","","","2096","2103","7","0","10.1109/SCW63240.2024.00262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217155017&doi=10.1109%2fSCW63240.2024.00262&partnerID=40&md5=fceee58c7cf947a9ade24b0389e63f63","Containers have become an important component for scientific workflows, enhancing reproducibility, portability, and isolation when coupled with workflow management systems. However, integrating containers with these systems can be complex, potentially hindering wider adoption. Serverless platforms offer a solution by providing a layer of abstraction over container orchestrators, simplifying management while introducing event-driven capabilities. This paper presents a novel integration of serverless with workflow management systems to optimize scientific workflow execution. Our approach leverages serverless functions to dynamically provision containers for workflow tasks, resulting in up to 30% faster execution. We found that performance can be further improved by reusing containers between multiple different tasks that were provisioned by the serverless platform. These findings demonstrate the utility of combining specialized container orchestration with established workflow management to streamline scientific computing, improve resource utilization, and accelerate time-to-results. Serverless' event-driven architecture enables efficient resource scaling, aligning with the dynamic nature of scientific workloads.  © 2024 IEEE.","","","Institute of Electrical and Electronics Engineers Inc.","ACM; ACM�s Special Interest Group on High Performance Computing (SIGHPC); IEEE Technical Committee on High Performance Computing (TCHPC); Institute of Electrical and Electronics Engineers (IEEE) Computer Society","2024 Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis, SC Workshops 2024","17 November 2024 through 22 November 2024","Atlanta","205946","Conference paper","Final","","Scopus","2-s2.0-85217155017"
"Liu Q.; Cheng Y.; Shen H.; Wang A.; Balaji B.","Liu, Qichang (57392904000); Cheng, Yue (56022559100); Shen, Haiying (59565715100); Wang, Ao (57215285001); Balaji, Bharathan (58224756000)","57392904000; 56022559100; 59565715100; 57215285001; 58224756000","Concurrency-Informed Orchestration for Serverless Functions","2025","International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","2","","","147","161","14","0","10.1145/3676641.3716253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002556739&doi=10.1145%2f3676641.3716253&partnerID=40&md5=ce683540024e3600eee142ffd45dc47a","Cold start delays are a main pain point for today's FaaS (Function-as-a-Service) platforms. A widely used mitigation strategy is keeping recently invoked function containers alive in memory to enable warm starts with minimal overhead. This paper identifies new challenges that state-of-the-art FaaS keep-alive policies neglect. These challenges are caused by concurrent function invocations, a common FaaS workload behavior. First, concurrent requests present a tradeoff between reusing busy containers (delayed warm starts) versus cold-starting containers. Second, concurrent requests cause imbalanced evictions of containers that will be reused shortly thereafter. To tackle the challenges, we propose a novel serverless function container orchestration algorithm called CIDRE. CIDRE makes informed decisions to speculatively choose between a delayed warm start and a cold start under concurrency-driven function scaling. CIDRE uses both fine-grained container-level and coarse-grained concurrency information to make balanced eviction decisions. We evaluate CIDRE extensively using two production FaaS workloads. Results show that CIDRE reduces the cold start ratio and the average invocation overhead by up to 75.1% and 39.3% compared to state-of-the-art function keep-alive policies. © 2025 ACM.","autoscaling; caching; cloud computing; container orchestration; function-as-a-service; serverless computing","Artificial intelligence; Peer to peer networks; Art functions; Autoscaling; Caching; Cloud-computing; Cold-start; Container orchestration; Function-as-a-service; Serverless computing; State of the art; Warm start; Platform as a Service (PaaS)","Association for Computing Machinery","ACM SIGARCH; ACM SIGOPS; ACM SIGPLAN","30th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS 2025","30 March 2025 through 3 April 2025","Rotterdam","207994","Conference paper","Final","","Scopus","2-s2.0-105002556739"
"Kelantonakis G.; Kourou F.; Magoutis K.","Kelantonakis, George (58244146200); Kourou, Fallia (59929656000); Magoutis, Kostas (22035826800)","58244146200; 59929656000; 22035826800","Proportional Fairness and Isolation for Serverless Applications over FaaS Platforms","2025","ICPE 2025 - Proceedings of the 16th ACM/SPEC International Conference on Performance","","","","58","68","10","0","10.1145/3676151.3719363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007287875&doi=10.1145%2f3676151.3719363&partnerID=40&md5=36293e4f5ff5544951386d8fce3cbb96","Effectively supporting multi-tenant application deployments in the emerging Function-as-a-Service (FaaS) (or serverless computing) model requires extending it with fairness and isolation mechanisms. Quality-of-service (QoS) concepts developed over time in the networking, storage, and virtualized infrastructure domains are currently being investigated in the space of serverless platforms. In this paper, we propose a two-level serverless QoS architecture that combines state-of-the-art scheduling algorithms and mechanisms with the unique characteristics of distributed serverless platforms, resulting into a system that provides proportional fairness for serverless applications with shared access to distributed and load-balanced FaaS platforms. The primary advantage of our approach is the use of higher-level scheduling mechanisms only, avoiding the need to manage low-level resources within underlying FaaS platforms (thus not requiring changes to them) for achieving fairness. We demonstrate the concrete benefits of our architecture using state-of-the-art benchmarks in experiments over AWS EC2. © 2025 Copyright held by the owner/author(s).","differentiated services; fairness; isolation; quality of service; serverless computing","Platform as a Service (PaaS); Resource allocation; Application deployment; Differentiated service; Fairness; Isolation; Multi tenants; Proportional fairness; Quality-of-service; Serverless computing; Service platforms; State of the art; Network function virtualization","Association for Computing Machinery, Inc","ACM SIGMETRICS; ACM SIGSOFT; SPEC","16th ACM/SPEC International Conference on Performance, ICPE 2025","5 May 2025 through 9 May 2025","Toronto","208715","Conference paper","Final","","Scopus","2-s2.0-105007287875"
"Copik M.; Calotoiu A.; Rethy G.; Böhringer R.; Bruno R.; Hoefler T.","Copik, Marcin (57194605130); Calotoiu, Alexandru (55415831500); Rethy, Gyorgy (6504316095); Böhringer, Roman (57226183431); Bruno, Rodrigo (56146992200); Hoefler, Torsten (14018121700)","57194605130; 55415831500; 6504316095; 57226183431; 56146992200; 14018121700","Process-as-a-Service: Unifying Elastic and Stateful Clouds with Serverless Processes","2024","SoCC 2024 - Proceedings of the 2024 ACM Symposium on Cloud Computing","","","","223","242","19","0","10.1145/3698038.3698567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215529249&doi=10.1145%2f3698038.3698567&partnerID=40&md5=532e980176158d3b498aefea98386da9","Fine-grained serverless functions power many new applications that benefit from elastic scaling and pay-as-you-use billing model with minimal infrastructure management overhead. To achieve these properties, Function-as-a-Service (FaaS) platforms disaggregate compute and state and, consequently, introduce non-trivial costs due to the loss of data locality when accessing state, complex control plane interactions, and expensive inter-function communication. We revisit the foundations of FaaS and propose a new cloud abstraction, the cloud process, that retains all the benefits of FaaS while significantly reducing the overheads that result from disaggregation. We show how established operating system abstractions can be adapted to provide powerful granular computing on dynamically provisioned cloud resources while building our Process as a Service (PraaS) platform. PraaS improves current FaaS by offering data locality, fast invocations, and efficient communication. PraaS delivers remote invocations up to 17× faster and reduces communication overhead by up to 99%. © 2024 ACM.","Function-as-a-Service; Operating Systems; Serverless","Infrastructure as a service (IaaS); Platform as a Service (PaaS); Program debugging; Data locality; Fine grained; Function-as-a-service; New applications; Operating system; Power; Process as a services; Scalings; Serverless; Service platforms; Cloud platforms","Association for Computing Machinery, Inc","ACM Special Interest Group on Operating Systems (SIGOPS); ACM Special Interest Groups on Management of Data (SIGMOD); Google; IBM; Microsoft","15th Annual ACM Symposium on Cloud Computing, SoCC 2024","20 November 2024 through 22 November 2024","Redmond","205525","Conference paper","Final","","Scopus","2-s2.0-85215529249"
"Li T.; Chen Y.; Yu D.; Zhang Y.; Lagaisse B.","Li, Tianyu (59521078700); Chen, Yingpeng (59261142700); Yu, Donghui (57879527700); Zhang, Yuanyuan (56128011400); Lagaisse, Bert (8933999000)","59521078700; 59261142700; 57879527700; 56128011400; 8933999000","Enhancing Effective Bidirectional Isolation for Function Fusion in Serverless Architectures","2024","Middleware 2024 - Proceedings of the 25th ACM International Middleware Conference","","","","1","7","6","0","10.1145/3652892.3654778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215526655&doi=10.1145%2f3652892.3654778&partnerID=40&md5=19b2d9541e7bb4b1d486924ed9b639b1","Serverless computing has emerged as a popular paradigm in modern cloud environments, offering flexibility and scalability to tenants. A serverless function might handle sensitive tenant data. Employing Trusted Execution Environment (TEE) techniques to protect such a function from untrusted cloud service providers is attractive for tenant privacy. However, this introduces response latency, thereby impacting the performance of function execution. This paper introduces Fundue, a serverless architecture with bidirectional isolation between tenant and cloud provider that achieves light-weight isolation of functions and reduces cold start latency by fusing functions. Fundue enables multiple functions uploaded by the same tenant to share a single execution environment embedded into the enclave. Fundue allocates separate memory for each serverless function within the execution environment and establishes robust isolation between functions through bounds checking mechanisms. We extensively evaluate Fundue with diverse workloads and representative serverless functions. Our results demonstrate a significant reduction in response latency of serverless function execution, ranging from 17.8% to 88.7% compared to AccTEE, an open-source two-way sandbox serverless framework. Additionally, Fundue mitigates vulnerabilities in existing execution environments, such as stack-based buffer overflows. © 2024 Copyright held by the owner/author(s).","function fusion; Function-as-a-service; Intel SGX; Serverless Computing","Cloud environments; Cloud service providers; Execution environments; Function fusion; Function-as-a-service; Intel SGX; Performance; Serverless architecture; Serverless computing; Trusted execution environments; Memory architecture","Association for Computing Machinery, Inc","ACM","25th ACM International Middleware Conference, Middleware 2024","2 December 2024 through 6 December 2024","Hong Kong","205541","Conference paper","Final","","Scopus","2-s2.0-85215526655"
"Wen Y.; Xu G.; Wang J.; Hao W.","Wen, Yanyan (59479312200); Xu, Guangping (7404264179); Wang, Jianshe (59407851400); Hao, Wei (59479224700)","59479312200; 7404264179; 59407851400; 59479224700","Low-Latency State Management for Real-Time Tasks in Edge Serverless","2024","Proceedings - 2024 IEEE International Symposium on Parallel and Distributed Processing with Applications, ISPA 2024","","","","10","17","7","0","10.1109/ISPA63168.2024.00010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000141034&doi=10.1109%2fISPA63168.2024.00010&partnerID=40&md5=fe302389224177d89af2045fc67ed7b0","Stateful serverless systems commonly adopt an architectural paradigm characterized by compute and storage separation within cloud data centers. Nevertheless, guaranteeing prompt response for real-time tasks at the edge becomes challenging due to network overheads. This paper introduces a Low-Latency state management framework for real-time tasks in edge serverless systems called LoLa, which adaptively places states proximate to functions, thereby mitigating delays in accessing states within edge serverless systems. Our approach aims at mitigating network latency and optimizing resource utilization by co-locating functions and states, thereby enhancing the system's overall efficiency. We introduce an adaptive strategy to coordinate the migration of states. It dynamically adjusts the positions of states based on historical data and real-time feedback. Additionally, we designed an in-memory state storage mechanism to facilitate low-latency access and implement a lightweight and fine-grained state management to ensure stored state consistency. Evaluation results showcase the efficacy of LoLa in reducing state read and write latency within edge serverless systems. Specifically, the average response latency is observed to decrease by 65.2% and 38.1% in the best and worst-case scenarios, respectively.  © 2024 IEEE.","Edge computing; Stateful Serverless","Cloud data centers; Edge computing; Low latency; Management frameworks; Network overhead; Place-state; Real-time tasks; Serverless systems; State management; Stateful serverless","Institute of Electrical and Electronics Engineers Inc.","et al.; IEEE; IEEE Computer Society; IEEE SC Technical Committee on Hyper-Intelligence (HI-TC); IEEE Technical Committee on Scalable Computing (TCSC); IEEE Technical Committee on Smart World","22nd IEEE International Symposium on Parallel and Distributed Processing with Applications, ISPA 2024","30 October 2024 through 2 November 2024","Kaifeng","207145","Conference paper","Final","","Scopus","2-s2.0-105000141034"
"Rotchford D.; Evans S.; Filgueira R.","Rotchford, Daniel (59546374100); Evans, Samuel (59546829200); Filgueira, Rosa (9733528300)","59546374100; 59546829200; 9733528300","Laminar 2.0: Serverless Stream Processing with Enhanced Code Search and Recommendations","2024","Proceedings of SC 2024-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis","","","","2088","2095","7","0","10.1109/SCW63240.2024.00261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217186391&doi=10.1109%2fSCW63240.2024.00261&partnerID=40&md5=2eaa02a961aa7661ee9640c0d9077be4","This paper presents Laminar 2.0, an enhanced serverless framework for running dispel4py streaming work-flows. Building on Laminar 1.0, this version introduces improved dependency management, client-server functionality, and advanced deep learning models for semantic search. Key innovations include a structural code-to-code search using simplified parse syntax trees (SPTs) for detecting similar Processing Elements (PEs) or workflows, even from incomplete code. Additionally, Laminar 2.0 optimizes text-to-code search through better preprocessing of PEs. Our evaluation shows significant performance improvements over the previous version.  © 2024 IEEE.","dispel4py; Laminar; semantic code search; Serverless computing; streaming workflows","","Institute of Electrical and Electronics Engineers Inc.","ACM; ACM�s Special Interest Group on High Performance Computing (SIGHPC); IEEE Technical Committee on High Performance Computing (TCHPC); Institute of Electrical and Electronics Engineers (IEEE) Computer Society","2024 Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis, SC Workshops 2024","17 November 2024 through 22 November 2024","Atlanta","205946","Conference paper","Final","","Scopus","2-s2.0-85217186391"
"Zhao Z.; Wu M.; Chen H.; Zang B.","Zhao, Ziming (57201619659); Wu, Mingyu (57193513326); Chen, Haibo (55743141500); Zang, Binyu (6701320221)","57201619659; 57193513326; 55743141500; 6701320221","Characterization and Reclamation of Frozen Garbage in Managed FaaS Workloads","2024","EuroSys 2024 - Proceedings of the 2024 European Conference on Computer Systems","","","","281","297","16","1","10.1145/3627703.3629579","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191992131&doi=10.1145%2f3627703.3629579&partnerID=40&md5=557ae0db9f862797fbebaa2b1b1dd6ec","FaaS (function-as-a-service) is becoming a popular workload in cloud environments due to its virtues such as auto-scaling and pay-as-you-go. High-level languages like JavaScript and Java are commonly used in FaaS for programmability, but their managed runtimes complicate memory management in the cloud. This paper first observes the issue of frozen garbage, which is caused by freezing cached function instances where their threads have been paused but the unused memory (e.g., garbage) is not reclaimed due to the semantic gap between FaaS and the managed runtime. This paper presents the first characterization of the negative effects induced by frozen garbage with various functions, which uncovers that it can occupy more than half of FaaS instances' memory resources on average. To this end, this paper proposes Desiccant, a freeze-aware memory manager for managed workloads in FaaS, which reclaims idle memory resources consumed by frozen garbage from managed runtime instances and thus notably improves memory efficiency. The evaluation on various FaaS workloads shows that Desiccant can reduce FaaS functions' peak memory consumption by up to 6.72×. Such saved memory consumption allows caching more FaaS instances to reduce the frequency of cold boots (creating instances before function execution) and p99 latency by up to 4.49× and 37.5%, respectively.  © 2024 ACM.","Function-as-a-Service; Garbage Collection; Language Runtime","Driers (materials); High level languages; Cloud environments; Function-as-a-service; Garbage collection; Language runtimes; Memory resources; Pay as you go; Runtimes; Scalings; Service instances; Various functions; Semantics","Association for Computing Machinery, Inc","ACM SIGOPS; Ant Group Research; Google; Huawei; KAUST; Red Hat","19th European Conference on Computer Systems, EuroSys 2024","22 April 2024 through 25 April 2024","Athens","199050","Conference paper","Final","","Scopus","2-s2.0-85191992131"
"Lu F.; Wei X.; Huang Z.; Chen R.; Wu M.; Chen H.","Lu, Fangming (57440649500); Wei, Xingda (57112888500); Huang, Zhuobin (57553884400); Chen, Rong (56428216800); Wu, Minyu (57193513326); Chen, Haibo (55743141500)","57440649500; 57112888500; 57553884400; 56428216800; 57193513326; 55743141500","Serialization/Deserialization-free State Transfer in Serverless Workflows","2024","EuroSys 2024 - Proceedings of the 2024 European Conference on Computer Systems","","","","132","147","15","5","10.1145/3627703.3629568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192003448&doi=10.1145%2f3627703.3629568&partnerID=40&md5=9857af0de38e14a50df51f9da3726399","Serialization and deserialization play a dominant role in the state transfer time of serverless workflows, leading to substantial performance penalties during workflow execution. We identify the key reason as a lack of ability to efficiently access the (remote) memory of another function. We propose RMMap, an OS primitive for remote memory map. It allows a serverless function to directly access the memory of another function, even if it is located remotely. RMMap is the first to completely eliminates serialization and deserialization when transferring states between any pairs of functions in (unmodified) serverless workflows. To make remote memory map efficient and feasible, we co-design it with fast networking (RDMA), OS, language runtime, and serverless platform. Evaluations using real-world serverless workloads show that integrating RMMap with Knative reduces the serverless workflow execution time on Knative by up to 2.6 × and improves resource utilizations by 86.3%.  © 2024 ACM.","","Co-designs; Free state; Language runtimes; Memory map; Performance penalties; Remote memory; State transfer; Transfer time; Work-flows; Workflow execution","Association for Computing Machinery, Inc","ACM SIGOPS; Ant Group Research; Google; Huawei; KAUST; Red Hat","19th European Conference on Computer Systems, EuroSys 2024","22 April 2024 through 25 April 2024","Athens","199050","Conference paper","Final","","Scopus","2-s2.0-85192003448"
